age,ECC,OMEGA,OBL,PREC,65NJul,65SJan,15NJul,15SJan
0,0.017236,101.37,23.446, 0.01690,426.76,455.58,440.60,470.35
-1,0.017644,84.26,23.573, 0.01756,430.12,455.48,442.48,468.57
-2,0.018024,67.23,23.697, 0.01662,434.69,454.07,445.62,465.49
-3,0.018376,50.30,23.815, 0.01414,440.20,451.57,449.77,461.39
-4,0.018697,33.45,23.923, 0.01031,446.28,448.30,454.60,456.65
-5,0.018988,16.68,24.019, 0.00545,452.48,444.63,459.67,451.70
-6,0.019249,359.99,24.100, 0.00000,458.31,441.00,464.53,446.98
-7,0.019477,343.37,24.163,-0.00557,463.29,437.78,468.75,442.94
-8,0.019674,326.82,24.206,-0.01077,467.00,435.33,471.92,439.91
-9,0.019839,310.32,24.229,-0.01513,469.12,433.88,473.76,438.17
-10,0.019971,293.86,24.229,-0.01826,469.44,433.59,474.08,437.87
-11,0.020071,277.45,24.207,-0.01990,467.92,434.48,472.84,439.05
-12,0.020139,261.07,24.161,-0.01989,464.67,436.45,470.17,441.60
-13,0.020175,244.71,24.093,-0.01824,459.95,439.29,466.28,445.34
-14,0.020180,228.37,24.004,-0.01508,454.12,442.71,461.52,449.93
-15,0.020154,212.04,23.895,-0.01069,447.62,446.33,456.31,455.01
-16,0.020098,195.71,23.769,-0.00544,440.92,449.76,451.09,460.14
-17,0.020012,179.38,23.627, 0.00022,434.50,452.58,446.30,464.87
-18,0.019898,163.04,23.475, 0.00580,428.77,454.45,442.31,468.80
-19,0.019756,146.69,23.315, 0.01085,424.07,455.10,439.45,471.60
-20,0.019589,130.34,23.151, 0.01493,420.64,454.36,437.91,473.01
-21,0.019398,113.98,22.989, 0.01772,418.62,452.20,437.81,472.93
